thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(-0.923298, -0.18072, 0.338911)","(-0.892314, -0.306073, 0.331806)","(-0.889981, -0.313429, 0.331204)","(-0.772744, 0.154365, 0.615661)","(-0.606449, 0.136842, 0.783258)","(-0.632472, 0.151073, 0.759708)","(-0.65547, 0.163896, 0.737223)","(-0.721543, 0.280463, 0.633022)","(-0.459969, 0.342892, 0.819057)","(-0.476894, 0.349219, 0.806609)","(-0.543518, 0.373273, 0.751835)","(-0.651323, 0.414115, 0.635835)","(-0.582107, 0.413829, 0.699926)","(-0.635304, 0.424936, 0.644839)","(-0.676483, 0.432208, 0.596294)","(-0.550012, 0.517359, 0.655612)","(-0.0297596, 0.545124, 0.837827)","(-0.822259, 0.550372, 0.144848)","(-0.739248, -0.0120812, -0.673326)",pinch
"(0, 0, 0)","(-0.932602, -0.148459, 0.328959)","(-0.906428, -0.274835, 0.32071)","(-0.904376, -0.282269, 0.320044)","(-0.771685, 0.177495, 0.610736)","(-0.61023, 0.154753, 0.776963)","(-0.636472, 0.170914, 0.752125)","(-0.659248, 0.185235, 0.728753)","(-0.715801, 0.301315, 0.629951)","(-0.453687, 0.351519, 0.818903)","(-0.470242, 0.358633, 0.806384)","(-0.535392, 0.385848, 0.751316)","(-0.640491, 0.432105, 0.634867)","(-0.573152, 0.432877, 0.695783)","(-0.622356, 0.445813, 0.643369)","(-0.660533, 0.454712, 0.597439)","(-0.535443, 0.53112, 0.656668)","(-0.0174854, 0.536831, 0.843509)","(-0.802076, 0.579693, 0.143633)","(-0.733226, 0.0241517, -0.679556)",pinch
"(0, 0, 0)","(-0.928719, -0.209962, 0.305611)","(-0.899963, -0.333564, 0.280716)","(-0.89776, -0.3408, 0.279074)","(-0.774013, 0.0790551, 0.628215)","(-0.611484, 0.042302, 0.790125)","(-0.638847, 0.0616704, 0.766858)","(-0.662385, 0.0788778, 0.745)","(-0.720654, 0.200367, 0.663709)","(-0.459271, 0.230508, 0.857867)","(-0.475993, 0.238874, 0.846386)","(-0.541794, 0.271792, 0.795354)","(-0.648045, 0.330882, 0.68597)","(-0.586551, 0.333866, 0.737897)","(-0.633022, 0.351387, 0.689791)","(-0.669035, 0.36456, 0.647679)","(-0.545017, 0.428287, 0.720783)","(-0.0383899, 0.421412, 0.906057)","(-0.818197, 0.534414, 0.212029)","(-0.733367, 0.0973719, -0.672824)",pinch
"(0, 0, 0)","(-0.933971, -0.251401, 0.253959)","(-0.901805, -0.371961, 0.219983)","(-0.899396, -0.378995, 0.217828)","(-0.796407, 0.0124992, 0.604632)","(-0.637844, -0.0277597, 0.769665)","(-0.66647, -0.00558422, 0.745511)","(-0.690754, 0.0140544, 0.722954)","(-0.746838, 0.131378, 0.6519)","(-0.492894, 0.149961, 0.857069)","(-0.509388, 0.158952, 0.845729)","(-0.57409, 0.19481, 0.795279)","(-0.677776, 0.260875, 0.687433)","(-0.622414, 0.267223, 0.735658)","(-0.665492, 0.286914, 0.689058)","(-0.698682, 0.302144, 0.6485)","(-0.578052, 0.356887, 0.733817)","(-0.0951147, 0.346563, 0.933192)","(-0.842104, 0.494686, 0.214816)","(-0.70907, 0.137505, -0.691601)",pinch
"(0, 0, 0)","(-0.946527, -0.238889, 0.216839)","(-0.916279, -0.358609, 0.178416)","(-0.913978, -0.365599, 0.176017)","(-0.812767, 0.00584523, 0.582559)","(-0.658673, -0.0349537, 0.751617)","(-0.687733, -0.00930429, 0.725904)","(-0.711988, 0.0131993, 0.702067)","(-0.761753, 0.12126, 0.636418)","(-0.513381, 0.124469, 0.849086)","(-0.529327, 0.134357, 0.837712)","(-0.591698, 0.174002, 0.787157)","(-0.690674, 0.247306, 0.679565)","(-0.641155, 0.257778, 0.722822)","(-0.680133, 0.279373, 0.677769)","(-0.710018, 0.296221, 0.638849)","(-0.590059, 0.338667, 0.732895)","(-0.137243, 0.311727, 0.940208)","(-0.843778, 0.498895, 0.197845)","(-0.682363, 0.183114, -0.707708)",pinch
"(0, 0, 0)","(-0.951543, -0.232941, 0.20076)","(-0.922733, -0.351552, 0.158036)","(-0.920514, -0.35848, 0.15539)","(-0.817105, -0.00423802, 0.576473)","(-0.664699, -0.044536, 0.745783)","(-0.693532, -0.0169226, 0.720227)","(-0.717391, 0.00717652, 0.696634)","(-0.764847, 0.108287, 0.635046)","(-0.518116, 0.0997715, 0.849471)","(-0.533828, 0.110318, 0.838366)","(-0.595224, 0.152766, 0.788905)","(-0.692289, 0.231546, 0.683464)","(-0.647935, 0.24877, 0.719926)","(-0.684849, 0.271875, 0.676067)","(-0.713017, 0.289948, 0.638387)","(-0.59078, 0.319327, 0.740952)","(-0.151282, 0.278912, 0.948326)","(-0.841126, 0.499945, 0.206305)","(-0.675763, 0.221461, -0.703065)",pinch
"(0, 0, 0)","(-0.958999, -0.234888, 0.158584)","(-0.929097, -0.352153, 0.112986)","(-0.926811, -0.358998, 0.110192)","(-0.83736, -0.0194478, 0.546305)","(-0.691247, -0.0564155, 0.720413)","(-0.719072, -0.027503, 0.694391)","(-0.741868, -0.00238312, 0.670542)","(-0.786839, 0.0908158, 0.610439)","(-0.548029, 0.0739892, 0.833181)","(-0.563293, 0.0849747, 0.821876)","(-0.622711, 0.129338, 0.771688)","(-0.715627, 0.212046, 0.665518)","(-0.675354, 0.235429, 0.698906)","(-0.709405, 0.259446, 0.65531)","(-0.735191, 0.278278, 0.618107)","(-0.615938, 0.297377, 0.729512)","(-0.191054, 0.247766, 0.949795)","(-0.847635, 0.494301, 0.192826)","(-0.653244, 0.251127, -0.714288)",pinch
"(0, 0, 0)","(-0.974495, -0.191929, 0.116287)","(-0.947306, -0.311427, 0.0749931)","(-0.945173, -0.318427, 0.0724766)","(-0.863007, 0.0282422, 0.504403)","(-0.729206, 0.00259028, 0.684289)","(-0.753757, 0.0315329, 0.656396)","(-0.773576, 0.0564213, 0.631187)","(-0.811129, 0.137978, 0.568359)","(-0.584331, 0.11722, 0.803005)","(-0.598558, 0.128521, 0.790703)","(-0.653575, 0.173949, 0.736601)","(-0.737707, 0.257604, 0.624042)","(-0.698632, 0.284104, 0.656657)","(-0.728706, 0.307779, 0.611768)","(-0.751263, 0.326217, 0.573748)","(-0.63779, 0.34045, 0.690882)","(-0.229707, 0.278831, 0.932464)","(-0.835139, 0.531345, 0.14218)","(-0.612173, 0.263267, -0.74561)",pinch
"(0, 0, 0)","(-0.968056, -0.218078, 0.123734)","(-0.940486, -0.332509, 0.0701655)","(-0.938333, -0.339195, 0.0669155)","(-0.848284, -0.0351578, 0.528373)","(-0.710241, -0.0631006, 0.701125)","(-0.736696, -0.0305295, 0.675534)","(-0.757936, -0.00258285, 0.652323)","(-0.796039, 0.0686183, 0.601343)","(-0.562261, 0.0286692, 0.826463)","(-0.576989, 0.0408868, 0.815728)","(-0.634156, 0.0904965, 0.767891)","(-0.722633, 0.183392, 0.66646)","(-0.688346, 0.215899, 0.692508)","(-0.718163, 0.24199, 0.652443)","(-0.740617, 0.262536, 0.618515)","(-0.62193, 0.260904, 0.73833)","(-0.209259, 0.182522, 0.960675)","(-0.837998, 0.500049, 0.218429)","(-0.640831, 0.327593, -0.694275)",pinch
"(0, 0, 0)","(-0.971661, -0.213885, 0.100641)","(-0.94421, -0.326488, 0.0432721)","(-0.942063, -0.333067, 0.0398084)","(-0.856723, -0.0472031, 0.513612)","(-0.721769, -0.0745583, 0.688107)","(-0.748449, -0.0392417, 0.66203)","(-0.769645, -0.00903609, 0.638408)","(-0.804764, 0.0533196, 0.591195)","(-0.574884, 0.0029494, 0.81823)","(-0.58934, 0.0156888, 0.807733)","(-0.645334, 0.0675493, 0.760908)","(-0.731433, 0.164936, 0.661666)","(-0.701362, 0.202404, 0.683465)","(-0.72893, 0.229099, 0.645116)","(-0.749603, 0.250139, 0.612802)","(-0.631226, 0.238822, 0.737914)","(-0.226527, 0.149374, 0.962483)","(-0.837652, 0.498083, 0.22417)","(-0.629916, 0.360621, -0.687865)",pinch
"(0, 0, 0)","(-0.973448, -0.206024, 0.0997643)","(-0.947035, -0.318433, 0.0415324)","(-0.944948, -0.325004, 0.0380179)","(-0.856757, -0.0434677, 0.513886)","(-0.722322, -0.0684091, 0.688165)","(-0.749719, -0.0309846, 0.66103)","(-0.77132, 0.000917183, 0.636447)","(-0.803857, 0.0560068, 0.59218)","(-0.574276, 0.00190257, 0.818659)","(-0.588626, 0.0148476, 0.808269)","(-0.644191, 0.0675528, 0.761876)","(-0.729492, 0.166437, 0.663431)","(-0.703643, 0.209881, 0.67885)","(-0.729721, 0.236069, 0.6417)","(-0.749235, 0.256655, 0.610552)","(-0.628582, 0.23886, 0.740155)","(-0.227212, 0.14449, 0.963067)","(-0.8333, 0.502784, 0.229827)","(-0.630433, 0.373361, -0.680555)",pinch
"(0, 0, 0)","(-0.976676, -0.196592, 0.0863472)","(-0.950937, -0.308256, 0.0264077)","(-0.948888, -0.31479, 0.0227988)","(-0.862402, -0.0426693, 0.504423)","(-0.729046, -0.0718361, 0.680685)","(-0.756132, -0.0330831, 0.653583)","(-0.777399, -5.0416e-05, 0.629008)","(-0.809188, 0.054805, 0.584988)","(-0.58256, -0.00588642, 0.812767)","(-0.596655, 0.00740283, 0.802463)","(-0.651146, 0.0615445, 0.756453)","(-0.734317, 0.163111, 0.658919)","(-0.713658, 0.214874, 0.666725)","(-0.738228, 0.241485, 0.629844)","(-0.756468, 0.262313, 0.599123)","(-0.633388, 0.233018, 0.737918)","(-0.238789, 0.131308, 0.962153)","(-0.830433, 0.507648, 0.229509)","(-0.620808, 0.393407, -0.678106)",pinch
