thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(0.977277, 0.0526393, 0.205326)","(0.716698, -0.0267593, 0.69687)","(0.25475, -0.0950141, 0.962328)","(0.818419, -0.330441, 0.470106)","(0.141416, 0.79499, 0.589909)","(-0.838212, 0.482037, -0.255033)","(-0.82078, -0.040835, -0.569782)","(0.732198, -0.385121, 0.561755)","(0.274946, 0.805776, 0.524529)","(-0.645889, 0.649784, -0.400759)","(-0.741609, 0.164126, -0.650446)","(0.621554, -0.434126, 0.652077)","(0.297573, 0.821828, 0.485849)","(-0.546516, 0.606737, -0.577227)","(-0.63375, 0.00399854, -0.773528)","(0.503497, -0.504373, 0.701497)","(0.413793, 0.820755, 0.393874)","(-0.435871, 0.574471, -0.692819)","(-0.605612, -0.0956036, -0.789997)",fist
"(0, 0, 0)","(0.977277, 0.0526393, 0.205326)","(0.716698, -0.0267593, 0.69687)","(0.25475, -0.0950141, 0.962328)","(0.818419, -0.330441, 0.470106)","(0.153375, 0.78954, 0.594224)","(-0.834614, 0.493953, -0.243784)","(-0.825071, -0.0296291, -0.564252)","(0.732198, -0.385121, 0.561755)","(0.274946, 0.805776, 0.524529)","(-0.645889, 0.649784, -0.400759)","(-0.741609, 0.164126, -0.650446)","(0.621554, -0.434126, 0.652077)","(0.297697, 0.821706, 0.48598)","(-0.545273, 0.609731, -0.575244)","(-0.634123, 0.00930215, -0.773176)","(0.503497, -0.504373, 0.701497)","(0.415855, 0.818114, 0.397183)","(-0.432594, 0.580132, -0.690151)","(-0.604625, -0.0770191, -0.792777)",fist
"(0, 0, 0)","(0.977868, 0.056958, 0.201319)","(0.719287, -0.0190354, 0.694453)","(0.258488, -0.0863096, 0.962151)","(0.821005, -0.324324, 0.469855)","(0.161628, 0.79108, 0.589974)","(-0.833604, 0.499435, -0.235944)","(-0.830607, -0.0263094, -0.556238)","(0.735265, -0.378468, 0.56227)","(0.274666, 0.810852, 0.516796)","(-0.649089, 0.644693, -0.403799)","(-0.7444, 0.15672, -0.649082)","(0.625081, -0.427015, 0.6534)","(0.297292, 0.826465, 0.478094)","(-0.548424, 0.604837, -0.57741)","(-0.637113, 0.0035978, -0.770762)","(0.507394, -0.497162, 0.703833)","(0.415995, 0.821345, 0.390307)","(-0.435203, 0.575707, -0.692213)","(-0.606802, -0.0770269, -0.791112)",fist
"(0, 0, 0)","(0.97795, 0.057564, 0.20075)","(0.71965, -0.0179519, 0.694105)","(0.259014, -0.0850865, 0.962119)","(0.821369, -0.323464, 0.469813)","(0.167003, 0.789322, 0.590831)","(-0.831726, 0.505177, -0.230277)","(-0.833158, -0.0205911, -0.552651)","(0.735696, -0.377532, 0.562335)","(0.274624, 0.811558, 0.515708)","(-0.649541, 0.643975, -0.404219)","(-0.744792, 0.155678, -0.648884)","(0.625578, -0.426014, 0.653578)","(0.297268, 0.827091, 0.477023)","(-0.548496, 0.605044, -0.577125)","(-0.637642, 0.00438155, -0.770321)","(0.507943, -0.496147, 0.704153)","(0.416553, 0.82111, 0.390207)","(-0.43471, 0.576566, -0.691809)","(-0.606802, -0.072164, -0.79157)",fist
"(0, 0, 0)","(0.978416, 0.0610949, 0.197406)","(0.721766, -0.0116282, 0.692039)","(0.262087, -0.077956, 0.961891)","(0.823494, -0.318437, 0.469526)","(0.176079, 0.78942, 0.588058)","(-0.829675, 0.512301, -0.221783)","(-0.838265, -0.0152625, -0.545049)","(0.73822, -0.372063, 0.562672)","(0.274355, 0.815659, 0.509342)","(-0.652186, 0.639767, -0.406634)","(-0.74708, 0.149605, -0.64768)","(0.628485, -0.420165, 0.654574)","(0.29689, 0.83094, 0.470527)","(-0.551166, 0.600867, -0.578943)","(-0.640078, -0.000549689, -0.76831)","(0.511159, -0.490212, 0.705981)","(0.41879, 0.821004, 0.388029)","(-0.433409, 0.578584, -0.69094)","(-0.607739, -0.0637146, -0.791576)",fist
"(0, 0, 0)","(0.978804, 0.0641094, 0.194507)","(0.723573, -0.00622366, 0.69022)","(0.264721, -0.0718562, 0.961644)","(0.825316, -0.314127, 0.469231)","(0.191092, 0.785956, 0.588011)","(-0.824645, 0.526234, -0.207458)","(-0.844977, -0.00260612, -0.534797)","(0.740386, -0.367373, 0.562908)","(0.274101, 0.819132, 0.503877)","(-0.654464, 0.636144, -0.408653)","(-0.749038, 0.144407, -0.646598)","(0.630982, -0.415149, 0.655373)","(0.293814, 0.836796, 0.462002)","(-0.555211, 0.59342, -0.582747)","(-0.6421, -0.00769387, -0.766582)","(0.513924, -0.485119, 0.707489)","(0.42155, 0.819716, 0.387764)","(-0.429339, 0.583551, -0.689302)","(-0.607179, -0.0512634, -0.79291)",fist
"(0, 0, 0)","(0.979469, 0.0694807, 0.189242)","(0.726793, 0.00341937, 0.686848)","(0.269441, -0.0609673, 0.961085)","(0.828578, -0.306409, 0.468586)","(0.201483, 0.787616, 0.582294)","(-0.822583, 0.532821, -0.198641)","(-0.850949, 0.00105486, -0.525248)","(0.74427, -0.358971, 0.563206)","(0.273591, 0.82525, 0.494075)","(-0.658567, 0.629622, -0.412149)","(-0.752535, 0.135122, -0.644541)","(0.635464, -0.40616, 0.656673)","(0.290599, 0.844805, 0.449285)","(-0.561224, 0.582693, -0.587789)","(-0.64566, -0.0191576, -0.763384)","(0.518894, -0.475988, 0.71006)","(0.423037, 0.821858, 0.381562)","(-0.429213, 0.582366, -0.690381)","(-0.608673, -0.0477, -0.791986)",fist
"(0, 0, 0)","(0.980948, 0.0809109, 0.176618)","(0.734507, 0.0220816, 0.678242)","(0.280853, -0.0408841, 0.958879)","(0.83637, -0.290922, 0.464597)","(0.208058, 0.796814, 0.567273)","(-0.826038, 0.529663, -0.19266)","(-0.858972, -0.00801808, -0.511959)","(0.753583, -0.342394, 0.561141)","(0.272336, 0.836491, 0.475517)","(-0.668416, 0.616494, -0.416119)","(-0.760915, 0.117008, -0.638215)","(0.646242, -0.388713, 0.656714)","(0.286703, 0.857053, 0.42809)","(-0.573663, 0.564905, -0.593122)","(-0.654136, -0.0396131, -0.755339)","(0.530871, -0.458475, 0.712725)","(0.422386, 0.8299, 0.364494)","(-0.43798, 0.57136, -0.694061)","(-0.615785, -0.0573526, -0.785824)",fist
"(0, 0, 0)","(0.981627, 0.0867575, 0.169947)","(0.738438, 0.0316634, 0.673578)","(0.286741, -0.0305545, 0.957521)","(0.840371, -0.282927, 0.462308)","(0.21248, 0.800934, 0.559783)","(-0.827234, 0.529315, -0.188437)","(-0.863396, -0.0113242, -0.504399)","(0.758385, -0.333827, 0.559832)","(0.271563, 0.842132, 0.465904)","(-0.673535, 0.609656, -0.417935)","(-0.765205, 0.107689, -0.634716)","(0.651816, -0.37969, 0.656484)","(0.283937, 0.863664, 0.41649)","(-0.580403, 0.55499, -0.595918)","(-0.658461, -0.0504225, -0.750924)","(0.537083, -0.449404, 0.713847)","(0.422426, 0.833363, 0.356458)","(-0.441576, 0.567047, -0.695319)","(-0.619089, -0.0597629, -0.783044)",fist
"(0, 0, 0)","(0.982355, 0.0962557, 0.160354)","(0.743753, 0.0471366, 0.66679)","(0.294886, -0.0139267, 0.955431)","(0.846186, -0.269913, 0.459475)","(0.214693, 0.809309, 0.546742)","(-0.830881, 0.524302, -0.186394)","(-0.868498, -0.0212174, -0.495239)","(0.765378, -0.319897, 0.558446)","(0.269368, 0.851033, 0.450759)","(-0.681336, 0.598448, -0.421475)","(-0.771197, 0.0925998, -0.629826)","(0.659947, -0.36503, 0.656676)","(0.279808, 0.872991, 0.399493)","(-0.589941, 0.54022, -0.60011)","(-0.664289, -0.0672022, -0.744449)","(0.546196, -0.434668, 0.716054)","(0.420554, 0.840288, 0.342127)","(-0.449003, 0.556614, -0.698983)","(-0.624244, -0.0699402, -0.778092)",fist
