thumb_metacarpal,thumb_proximal,thumb_intermediate,thumb_distal,index_metacarpal,index_proximal,index_intermediate,index_distal,middle_metacarpal,middle_proximal,middle_intermediate,middle_distal,ring_metacarpal,ring_proximal,ring_intermediate,ring_distal,pinky_metacarpal,pinky_proximal,pinky_intermediate,pinky_distal,gesture
"(0, 0, 0)","(0.549737, -0.173666, 0.817086)","(0.693723, -0.31891, 0.64579)","(0.803385, -0.46745, 0.368868)","(0.646551, -0.437074, 0.625251)","(0.357574, -0.697352, 0.621161)","(0.492213, -0.508908, 0.706215)","(0.587541, -0.313523, 0.745989)","(0.554693, -0.410631, 0.72367)","(0.642649, 0.7405, 0.196626)","(-0.385319, 0.638107, -0.666595)","(-0.720473, 0.0909178, -0.687497)","(0.443021, -0.369731, 0.81672)","(0.676302, 0.71509, 0.17681)","(-0.279888, 0.575894, -0.76812)","(-0.648704, 0.053701, -0.759144)","(0.311807, -0.358807, 0.879792)","(0.749058, 0.657435, 0.0818002)","(0.0575649, 0.453262, -0.889516)","(-0.355131, 0.0892339, -0.930548)",fist
"(0, 0, 0)","(0.549602, -0.173871, 0.817133)","(0.694264, -0.318161, 0.645579)","(0.804727, -0.465631, 0.368242)","(0.647547, -0.436428, 0.624671)","(0.357964, -0.702319, 0.615313)","(0.49373, -0.512634, 0.702451)","(0.589658, -0.315096, 0.743652)","(0.555508, -0.410571, 0.723078)","(0.639818, 0.742283, 0.199119)","(-0.387054, 0.638433, -0.665276)","(-0.720209, 0.0900981, -0.687882)","(0.44361, -0.370314, 0.816136)","(0.673558, 0.717079, 0.179211)","(-0.281337, 0.576822, -0.766893)","(-0.648246, 0.0533039, -0.759563)","(0.312302, -0.360023, 0.879119)","(0.746646, 0.659871, 0.0842049)","(0.0567391, 0.455815, -0.888264)","(-0.354623, 0.0904314, -0.930626)",fist
"(0, 0, 0)","(0.550105, -0.174391, 0.816684)","(0.695216, -0.317787, 0.644737)","(0.806158, -0.46422, 0.36689)","(0.648877, -0.43613, 0.623498)","(0.358315, -0.707705, 0.608904)","(0.495147, -0.517409, 0.697938)","(0.591741, -0.318325, 0.740616)","(0.55676, -0.41082, 0.721973)","(0.637525, 0.743723, 0.201089)","(-0.389059, 0.63898, -0.663579)","(-0.720505, 0.0896733, -0.687627)","(0.444739, -0.371155, 0.815139)","(0.671325, 0.718707, 0.181063)","(-0.283177, 0.577926, -0.765384)","(-0.64843, 0.0532737, -0.759408)","(0.313401, -0.361435, 0.878148)","(0.744627, 0.661919, 0.0859885)","(0.0553467, 0.458378, -0.887033)","(-0.354898, 0.0918556, -0.930382)",fist
"(0, 0, 0)","(0.550427, -0.174723, 0.816396)","(0.695832, -0.317539, 0.644195)","(0.807094, -0.463314, 0.365978)","(0.649745, -0.435928, 0.622734)","(0.358832, -0.710599, 0.605218)","(0.496377, -0.519596, 0.695435)","(0.593335, -0.319265, 0.738934)","(0.557578, -0.410974, 0.721254)","(0.636021, 0.744666, 0.202361)","(-0.390386, 0.639309, -0.662483)","(-0.720705, 0.0893682, -0.687457)","(0.445478, -0.371696, 0.814488)","(0.669852, 0.719782, 0.182242)","(-0.284403, 0.578606, -0.764415)","(-0.648559, 0.0532205, -0.759302)","(0.314121, -0.362348, 0.877515)","(0.743307, 0.663249, 0.0871503)","(0.0544329, 0.460041, -0.886228)","(-0.355081, 0.0927782, -0.93022)",fist
"(0, 0, 0)","(0.55063, -0.174938, 0.816213)","(0.696232, -0.317376, 0.643843)","(0.807712, -0.462735, 0.365347)","(0.650315, -0.435792, 0.622234)","(0.359397, -0.712204, 0.602991)","(0.497449, -0.520532, 0.693968)","(0.594622, -0.319199, 0.737927)","(0.558115, -0.411073, 0.720782)","(0.635024, 0.745292, 0.203186)","(-0.391276, 0.639502, -0.66177)","(-0.720844, 0.0891408, -0.687341)","(0.445964, -0.372048, 0.814061)","(0.668871, 0.720503, 0.182991)","(-0.285233, 0.57902, -0.763792)","(-0.648651, 0.0531532, -0.759228)","(0.314595, -0.362945, 0.877098)","(0.742438, 0.664121, 0.0879129)","(0.0538299, 0.461129, -0.885699)","(-0.355202, 0.0933836, -0.930113)",fist
"(0, 0, 0)","(0.550769, -0.175091, 0.816086)","(0.696513, -0.317261, 0.643596)","(0.808157, -0.462333, 0.36487)","(0.650723, -0.435694, 0.621877)","(0.35971, -0.713499, 0.601272)","(0.498145, -0.521391, 0.692823)","(0.595493, -0.319378, 0.737147)","(0.5585, -0.411141, 0.720445)","(0.634306, 0.745745, 0.203766)","(-0.391926, 0.639624, -0.661268)","(-0.720948, 0.0889609, -0.687255)","(0.446312, -0.372299, 0.813756)","(0.66816, 0.721033, 0.183506)","(-0.285845, 0.57929, -0.763358)","(-0.648722, 0.0530822, -0.759172)","(0.314935, -0.363369, 0.8768)","(0.741816, 0.664743, 0.0884583)","(0.0533988, 0.461906, -0.88532)","(-0.355289, 0.0938141, -0.930037)",fist
"(0, 0, 0)","(0.55087, -0.175205, 0.815994)","(0.696723, -0.317174, 0.643411)","(0.808497, -0.462041, 0.364487)","(0.651032, -0.435619, 0.621606)","(0.359617, -0.715164, 0.599346)","(0.498569, -0.522692, 0.691536)","(0.596236, -0.319984, 0.736283)","(0.558792, -0.411192, 0.720189)","(0.633756, 0.746094, 0.2042)","(-0.392431, 0.639703, -0.660892)","(-0.721032, 0.0888075, -0.687187)","(0.446577, -0.372487, 0.813524)","(0.667612, 0.721444, 0.183881)","(-0.286324, 0.579476, -0.763037)","(-0.648781, 0.0530095, -0.759127)","(0.315193, -0.363691, 0.876574)","(0.741344, 0.665215, 0.0888724)","(0.053071, 0.462494, -0.885033)","(-0.355356, 0.094139, -0.929978)",fist
"(0, 0, 0)","(0.54963, -0.175558, 0.816754)","(0.696014, -0.317074, 0.644227)","(0.808533, -0.46142, 0.365194)","(0.650553, -0.435546, 0.622158)","(0.359251, -0.717038, 0.597324)","(0.498688, -0.523693, 0.690692)","(0.596541, -0.319699, 0.73616)","(0.558098, -0.411398, 0.720609)","(0.632258, 0.746762, 0.206386)","(-0.392233, 0.640018, -0.660705)","(-0.71994, 0.0886594, -0.68835)","(0.445658, -0.372993, 0.813797)","(0.666174, 0.722217, 0.186051)","(-0.285869, 0.580063, -0.762762)","(-0.647506, 0.0530574, -0.760211)","(0.314147, -0.364481, 0.876621)","(0.740195, 0.666183, 0.0911661)","(0.053984, 0.463842, -0.884271)","(-0.353813, 0.0949482, -0.930484)",fist
"(0, 0, 0)","(0.547988, -0.175775, 0.81781)","(0.695059, -0.316757, 0.645413)","(0.808541, -0.460508, 0.366324)","(0.649889, -0.435274, 0.623042)","(0.35872, -0.718679, 0.595668)","(0.498496, -0.524359, 0.690326)","(0.596408, -0.319, 0.736571)","(0.557155, -0.411451, 0.721309)","(0.630332, 0.74766, 0.209011)","(-0.391912, 0.640242, -0.660678)","(-0.718482, 0.0882928, -0.689919)","(0.444419, -0.373402, 0.814286)","(0.664328, 0.723234, 0.18868)","(-0.285208, 0.580614, -0.76259)","(-0.645809, 0.0529262, -0.761663)","(0.312743, -0.365235, 0.876809)","(0.738715, 0.667438, 0.093955)","(0.0552163, 0.465301, -0.883429)","(-0.351773, 0.0957113, -0.931179)",fist
"(0, 0, 0)","(0.548697, -0.175148, 0.817468)","(0.696218, -0.31539, 0.644833)","(0.81016, -0.458385, 0.36541)","(0.651457, -0.434015, 0.622282)","(0.359904, -0.721006, 0.592131)","(0.500102, -0.525943, 0.687955)","(0.598121, -0.319313, 0.735045)","(0.558661, -0.410651, 0.7206)","(0.627837, 0.749484, 0.209986)","(-0.394222, 0.639855, -0.659677)","(-0.718916, 0.0868418, -0.689651)","(0.445815, -0.373118, 0.813653)","(0.661898, 0.725225, 0.189575)","(-0.28735, 0.580709, -0.761713)","(-0.646136, 0.0518162, -0.761461)","(0.314123, -0.365487, 0.876211)","(0.736486, 0.669774, 0.0948203)","(0.0534979, 0.466796, -0.882745)","(-0.352256, 0.095915, -0.930976)",fist
"(0, 0, 0)","(0.549293, -0.17461, 0.817183)","(0.697196, -0.314222, 0.644347)","(0.811529, -0.456583, 0.364628)","(0.652783, -0.432939, 0.621641)","(0.36181, -0.721686, 0.590138)","(0.502047, -0.52586, 0.686601)","(0.599835, -0.318263, 0.734103)","(0.559935, -0.409963, 0.720003)","(0.625712, 0.751028, 0.210811)","(-0.396186, 0.63951, -0.658835)","(-0.71928, 0.0855972, -0.689427)","(0.446996, -0.372869, 0.813119)","(0.659826, 0.726915, 0.190327)","(-0.289175, 0.58077, -0.760975)","(-0.646411, 0.0508569, -0.761293)","(0.315293, -0.365691, 0.875706)","(0.734589, 0.67175, 0.0955562)","(0.0520369, 0.468057, -0.882165)","(-0.352666, 0.0960802, -0.930803)",fist
"(0, 0, 0)","(0.549584, -0.174093, 0.817098)","(0.697785, -0.313288, 0.644163)","(0.812444, -0.455256, 0.364249)","(0.653627, -0.432071, 0.621358)","(0.362875, -0.722303, 0.588727)","(0.503329, -0.525691, 0.685791)","(0.601062, -0.317084, 0.733609)","(0.560728, -0.409354, 0.719732)","(0.624165, 0.75216, 0.211362)","(-0.39749, 0.639141, -0.658408)","(-0.719436, 0.0845852, -0.689389)","(0.44771, -0.372557, 0.81287)","(0.658316, 0.728152, 0.190826)","(-0.290368, 0.580666, -0.760601)","(-0.646493, 0.0500341, -0.761278)","(0.31599, -0.36569, 0.875455)","(0.733226, 0.673163, 0.0960815)","(0.0511332, 0.468803, -0.881821)","(-0.352816, 0.0960457, -0.93075)",fist
"(0, 0, 0)","(0.550098, -0.173423, 0.816894)","(0.698397, -0.312464, 0.643901)","(0.81313, -0.45435, 0.363848)","(0.65438, -0.431291, 0.621108)","(0.362446, -0.724385, 0.58643)","(0.503546, -0.527535, 0.684213)","(0.601752, -0.318206, 0.732557)","(0.561495, -0.408677, 0.719518)","(0.623364, 0.752911, 0.211051)","(-0.39854, 0.638609, -0.658289)","(-0.719833, 0.0836667, -0.689087)","(0.448474, -0.372006, 0.812701)","(0.657522, 0.728963, 0.190468)","(-0.291404, 0.580229, -0.760538)","(-0.646879, 0.0491866, -0.761005)","(0.31677, -0.36529, 0.87534)","(0.732486, 0.674014, 0.0957539)","(0.0502295, 0.468827, -0.881861)","(-0.353308, 0.0955979, -0.93061)",fist
"(0, 0, 0)","(0.54966, -0.174006, 0.817065)","(0.69859, -0.312123, 0.643857)","(0.814102, -0.452923, 0.363454)","(0.654975, -0.431013, 0.620674)","(0.361052, -0.729448, 0.580988)","(0.502329, -0.533409, 0.680544)","(0.600878, -0.324032, 0.730718)","(0.561908, -0.408955, 0.719038)","(0.620804, 0.75424, 0.213831)","(-0.399766, 0.639167, -0.657003)","(-0.719305, 0.0833229, -0.68968)","(0.448667, -0.372886, 0.812191)","(0.655048, 0.730472, 0.193188)","(-0.292346, 0.581373, -0.759302)","(-0.646162, 0.0492557, -0.761609)","(0.316872, -0.366745, 0.874695)","(0.730317, 0.675974, 0.0984678)","(0.0498179, 0.471416, -0.880503)","(-0.352522, 0.0970971, -0.930752)",fist
